type_nomenclature_code,cd_nomenclature,mnemonique,label_default,definition_default,label_fr,definition_fr,cd_nomenclature_broader,hierarchy
TYPE_PERTURBATION,GeF,Gestion par le feu,Gestion par le feu,Type de perturbation: Gestion par le feu,Gestion par le feu,Type de perturbation: Gestion par le feu,0,.001
TYPE_PERTURBATION,Bru,Brûlage contrôlé,Brûlage contrôlé,Gestion par le feu: Brûlage contrôlé,Brûlage contrôlé,Gestion par le feu: Brûlage contrôlé,GeF,.001.001
TYPE_PERTURBATION,Inc,Incendie,Incendie (naturel ou incontrôlé),Gestion par le feu: Incendie (naturel ou incontrôlé),Incendie (naturel ou incontrôlé),Gestion par le feu: Incendie (naturel ou incontrôlé),GeF,.001.002
TYPE_PERTURBATION,AcL,Activité de loisirs,Activité de loisirs,Type de perturbation: Activité de loisirs,Activité de loisirs,Type de perturbation: Activité de loisirs,0,.002
TYPE_PERTURBATION,Rec,Récolte des fleurs,Récolte des fleurs,Activité de loisirs: Récolte des fleurs,Récolte des fleurs,Activité de loisirs: Récolte des fleurs,AcL,.002.001
TYPE_PERTURBATION,Arr,Arrachage des pieds,Arrachage des pieds,Activité de loisirs: Arrachage des pieds,Arrachage des pieds,Activité de loisirs: Arrachage des pieds,AcL,.002.002
TYPE_PERTURBATION,Pie,Piétinement pédestre,Piétinement pédestre,Activité de loisirs: Piétinement pédestre,Piétinement pédestre,Activité de loisirs: Piétinement pédestre,AcL,.002.003
TYPE_PERTURBATION,Veh,Véhicules à moteur,Véhicules à moteur,Activité de loisirs: Véhicules à moteur,Véhicules à moteur,Activité de loisirs: Véhicules à moteur,AcL,.002.004
TYPE_PERTURBATION,Plo,Plongée dans un lac,Plongée dans un lac,Activité de loisirs: Plongée dans un lac,Plongée dans un lac,Activité de loisirs: Plongée dans un lac,AcL,.002.005
TYPE_PERTURBATION,GeE,Gestion de l'eau,Gestion de l'eau,Type de perturbation: Gestion de l'eau,Gestion de l'eau,Type de perturbation: Gestion de l'eau,0,.003
TYPE_PERTURBATION,Pom,Pompage,Pompage,Gestion de l'eau: Pompage,Pompage,Gestion de l'eau: Pompage,GeE,.003.001
TYPE_PERTURBATION,Drn,Drainage,Drainage,Gestion de l'eau: Drainage,Drainage,Gestion de l'eau: Drainage,GeE,.003.002
TYPE_PERTURBATION,Irg,Irrigation par gravité,Irrigation par gravité,Gestion de l'eau: Irrigation par gravité,Irrigation par gravité,Gestion de l'eau: Irrigation par gravité,GeE,.003.003
